"street_num","street","owner"
"6060","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"611 SCONES","DAM",ECONOMIC DEVELOPMENT AUTHORITY
"6050","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"1216","76TH",CITY OF NEWPORT NEWS
"1340","76TH",CITY OF NEWPORT NEWS
"140","MYTILENE",CITY OF NEWPORT NEWS
"7499","RIVER",CITY OF NEWPORT NEWS
"5600","MERCURY",CITY OF NEWPORT NEWS
"2","75TH",CITY OF NEWPORT NEWS
"7330","WARWICK",CITY OF NEWPORT NEWS
"719","73RD",CITY OF NEWPORT NEWS
"638","CLINTON",CITY OF NEWPORT NEWS
"5915","ORCUTT",CITY OF NEWPORT NEWS
"6290","CHESTNUT",CITY OF NEWPORT NEWS
"6402","CHESTNUT",CITY OF NEWPORT NEWS
"1210","GAIL",CITY OF NEWPORT NEWS
"6302","CHESTNUT",CITY OF NEWPORT NEWS
"1109","BRIARFIELD",CITY OF NEWPORT NEWS
"1111","BRIARFIELD",CITY OF NEWPORT NEWS
"1110","BRIARFIELD",CITY OF NEWPORT NEWS
"1112","BRIARFIELD",CITY OF NEWPORT NEWS
"6003 OLD","CHESTNUT",CITY OF NEWPORT NEWS
"7200","RIVER",CITY OF NEWPORT NEWS
"6940","HUNTINGTON",CITY OF NEWPORT NEWS
"5867","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY OF
"5859","JEFFERSON",CITY OF NEWPORT NEWS
"5849","JEFFERSON",INDUSTRIAL DEVELOPMENT AUTHORITY
"5911","MADISON",CITY OF NEWPORT NEWS
"5844","MARSHALL",CITY OF NEWPORT NEWS
"5800","MARSHALL",CITY OF NEWPORT NEWS SCHOOL BOARD
"5803","ORCUTT",CITY OF NEWPORT NEWS
"708","BRIARFIELD",CITY OF NEWPORT NEWS
"5801","ORCUTT",CITY OF NEWPORT NEWS
"5751","ROANOKE",CITY OF NEWPORT NEWS
"5750","ROANOKE",CITY OF NEWPORT NEWS
"6000","CHESTNUT",CITY OF NEWPORT NEWS
"5198","CHESTNUT",CITY OF NEWPORT NEWS
"5851","CHESTNUT",CITY OF NEWPORT NEWS
"6100","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"5600","ARLINGTON",CITY OF NEWPORT NEWS
"5720","MARSHALL",CITY OF NEWPORT NEWS SCHOOL BOARD
"5000","MARSHALL",CITY OF NEWPORT NEWS
"5730","MARSHALL",CITY OF NEWPORT NEWS
"5560","MARSHALL",CITY OF NEWPORT NEWS
"5570","MARSHALL",CITY OF NEWPORT NEWS
"4815","MARKET",CITY OF NEWPORT NEWS
"4501","ROANOKE",CITY OF NEWPORT NEWS
"1451","48TH",CITY OF NEWPORT NEWS-WATERWORKS
"4500","ROANOKE",CITY OF NEWPORT NEWS
"4451","ROANOKE",CITY OF NEWPORT NEWS
"4800","CHESTNUT",CITY OF NEWPORT NEWS
"4880","ALUMINUM",CITY OF NEWPORT NEWS
"4800","ROANOKE",CITY OF NEWPORT NEWS
"4500","CHESTNUT",CITY OF NEWPORT NEWS
"5101","HUNTINGTON",CITY OF NEWPORT NEWS
"4550","MARSHALL",CITY OF NEWPORT NEWS
"664","48TH",CITY OF NEWPORT NEWS
"621","47TH",CITY OF NEWPORT NEWS
"621","44TH",CITY OF NEWPORT NEWS
"4507","JEFFERSON",CITY OF NEWPORT NEWS
"661","46TH",N N R & H A
"4200","MARSHALL",CITY OF NEWPORT NEWS SCHOOL BOARD
"1001","44TH",CITY OF NEWPORT NEWS
"1005","44TH",CITY OF NEWPORT NEWS
"1037","44TH",CITY OF NEWPORT NEWS
"1020","41ST",CITY OF NEWPORT NEWS
"3800","ROANOKE",CITY OF NEWPORT NEWS
"3812","ORCUTT",CITY OF NEWPORT NEWS
"3700","CHESTNUT",CITY OF NEWPORT NEWS SCHOOL BOARD
"1335","34TH",CITY OF NEWPORT NEWS
"1354","35TH",CITY OF NEWPORT NEWS
"1222","35TH",CITY OF NEWPORT NEWS
"425","MAPLE",CITY OF NEWPORT NEWS
"392","MAPLE",CITY OF NEWPORT NEWS
"380","MAPLE",CITY OF NEWPORT NEWS
"383","PINE",CITY OF NEWPORT NEWS
"385","PINE",CITY OF NEWPORT NEWS
"387","PINE",CITY OF NEWPORT NEWS
"389","PINE",CITY OF NEWPORT NEWS
"391","PINE",CITY OF NEWPORT NEWS
"393","PINE",CITY OF NEWPORT NEWS
"384","MAPLE",CITY OF NEWPORT NEWS
"386","POPLAR",CITY OF NEWPORT NEWS
"393","POPLAR",CITY OF NEWPORT NEWS
"373","POPLAR",CITY OF NEWPORT NEWS
"369","POPLAR",CITY OF NEWPORT NEWS
"4800","HUNTINGTON",CITY OF NEWPORT NEWS
"4600","HUNTINGTON",CITY OF NEWPORT NEWS
"4514","HUNTINGTON",N N R & H A
"351","45TH",CITY OF NEWPORT NEWS
"350","45TH",CITY OF NEWPORT NEWS
"546","43RD",N N R & H A
"550","43RD",CITY OF NEWPORT NEWS
"554","43RD",CITY OF NEWPORT NEWS
"556","43RD",CITY OF NEWPORT NEWS
"4207","JEFFERSON",N N R & H A
"4201","JEFFERSON",N N R & H A
"551","41ST",N N R & H A
"549","41ST",N N R & H A
"4104","HINES",N N R & H A
"4100","HINES",N N R & H A
"644","42ND",N N R & H A
"651","41ST",N N R & H A
"645","41ST",N N R & H A
"641","41ST",N N R & H A
"637","41ST",N N R & H A
"631","41ST",N N R & H A
"629","41ST",N N R & H A
"627","41ST",N N R & H A
"625","41ST",N N R & H A
"621","41ST",N N R & H A
"619","41ST",N N R & H A
"617","41ST",N N R & H A
"615","41ST",N N R & H A
"613","41ST",N N R & H A
"4108","JEFFERSON",N N R & H A
"4104","JEFFERSON",N N R & H A
"4100","JEFFERSON",N N R & H A
"4014","HINES",N N R & H A
"4010","HINES",N N R & H A
"4015","JEFFERSON",N N R & H A
"4005","JEFFERSON",N N R & H A
"4001","JEFFERSON",N N R & H A
"557","40TH",N N R & H A
"555","40TH",CITY OF NEWPORT NEWS
"553","40TH",N N R & H A
"551","40TH",N N R & H A
"537","40TH",N N R & H A
"550","41ST",N N R & H A
"546","41ST",N N R & H A
"548","41ST",N N R & H A
"4010","JEFFERSON",N N R & H A
"606","41ST",CITY OF NEWPORT NEWS
"610","41ST",N N R & H A
"614","41ST",N N R & H A
"618","41ST",N N R & H A
"620","41ST",N N R & H A
"622","41ST",N N R & H A
"624","41ST",N N R & H A
"626","41ST",N N R & H A
"630","41ST",N N R & H A
"634","41ST",N N R & H A
"636","41ST",N N R & HA
"638","41ST",N N R & H A
"640","41ST",N N R & H A
"642","41ST",N N R & H A
"644","41ST",N N R & H A
"646","41ST",N N R & H A
"652","41ST",N N R & H A
"656","41ST",N N R & H A
"655","40TH",N N R & H A
"653","40TH",N N R & H A
"651","40TH",N N R & H A
"647","40TH",N N R & H A
"643","40TH",N N R & H A
"639","40TH",N N R & H A
"635","40TH",N N R & H A
"617","40TH",N N R & H A
"615","40TH",N N R & H A
"622","40TH",N N R & H A
"624","40TH",N N R & H A
"626","40TH",CITY OF NEWPORT NEWS
"628","40TH",N N R & H A
"630","40TH",N N R & H A
"632","40TH",N N R & H A
"3910","HINES",N N R & H A
"3908","HINES",N N R & H A
"554","40TH",N N R & H A
"3700","MARSHALL",ECONOMIC DEVELOPMENT AUTHORITY
"1000","36TH",N N R & H A
"900","35TH",CITY OF NEWPORT NEWS
"3415","ORCUTT",CITY OF NEWPORT NEWS SCHOOL BOARD
"900","36TH",N N R & H A
"1002","37TH",N N R & H A
"1006","37TH",N N R & H A
"1010","37TH",N N R & H A
"1047","36TH",N N R & H A
"1023","36TH",N N R & H A
"1011","36TH",N N R & H A
"1007","36TH",N N R & H A
"1003","36TH",N N R & H A
"1015","35TH",N N R & H A
"1013","35TH",N N R & H A
"1045","34TH",N N R & H A
"1025","34TH",N N R & H A
"1045","33RD",N N R & H A
"1041","33RD",N N R & H A
"1001","34TH",N N R & H A
"1003","34TH",N N R & H A
"1007","34TH",N N R & H A
"1011","34TH",N N R & H A
"1015","34TH",N N R & H A
"1019","34TH",N N R & H A
"1014","35TH",N N R & H A
"1010","35TH",N N R & H A
"1006","35TH",N N R & H A
"1002","35TH",N N R & H A
"1000","34TH",N N R & H A
"1003","33RD",N N R & H A
"1007","33RD",N N R & H A
"1011","33RD",N N R & H A
"1015","33RD",N N R & H A
"1019","33RD",N N R & H A
"1023","33RD",N N R & H A
"1026","34TH",N N R & H A
"1022","34TH",N N R & H A
"1018","34TH",N N R & H A
"1014","34TH",N N R & H A
"1010","34TH",N N R & H A
"1006","34TH",N N R & H A
"1002","34TH",N N R & H A
"741","34TH",N N R & H A
"731","33RD",CITY OF NEWPORT NEWS
"729","33RD",CITY OF NEWPORT NEWS
"3401","ORCUTT",CITY OF NEWPORT NEWS SCHOOL BOARD
"3200","ORCUTT",N N R & H A
"1114","33RD",N N R & H A
"1149","32ND",CITY OF NEWPORT NEWS
"1218","33RD",N N R & H A
"3109","CHESTNUT",N N R & H A
"1350","32ND",CITY OF NEWPORT NEWS
"1361","30TH",CITY OF NEWPORT NEWS
"3018","OAK",CITY OF NEWPORT NEWS
"1232","30TH",CITY OF NEWPORT NEWS
"1305","29TH",CITY OF NEWPORT NEWS
"1301","29TH",CITY OF NEWPORT NEWS
"1379","29TH",CITY OF NEWPORT NEWS
"2912","OAK",CITY OF NEWPORT NEWS
"2802","OAK",CITY OF NEWPORT NEWS
"1320","29TH",CITY OF NEWPORT NEWS
"1374","29TH",CITY OF NEWPORT NEWS
"2800","OAK",CITY OF NEWPORT NEWS
"1380","29TH",CITY OF NEWPORT NEWS
"1047","31ST",CITY OF NEWPORT NEWS
"1127","30TH",CITY OF NEWPORT NEWS
"1151","29TH",CITY OF NEWPORT NEWS
"1132","29TH",CITY OF NEWPORT NEWS
"1140","27TH",CITY OF NEWPORT NEWS
"1034","29TH",CITY OF NEWPORT NEWS
"2807","ROANOKE",CITY OF NEWPORT NEWS
"2803","OAK",CITY OF NEWPORT NEWS
"1255","28TH",CITY OF NEWPORT NEWS
"1249","28TH",CITY OF NEWPORT NEWS
"2701","OAK",CITY OF NEWPORT NEWS
"2608","OAK",CITY OF NEWPORT NEWS
"2606","OAK",CITY OF NEWPORT NEWS
"1212","27TH",N N R & H A
"2609","OAK",CITY OF NEWPORT NEWS
"2509","OAK",N N R & H A
"311","SYCAMORE",N N R & H A
"301","BUXTON",CITY OF NEWPORT NEWS
"322","BUXTON",CITY OF NEWPORT NEWS
"324","BUXTON",CITY OF NEWPORT NEWS
"328","BUXTON",CITY OF NEWPORT NEWS
"330","BUXTON",CITY OF NEWPORT NEWS
"332","BUXTON",CITY OF NEWPORT NEWS
"1435","28TH",CITY OF NEWPORT NEWS
"1445","28TH",CITY OF NEWPORT NEWS
"1430","28TH",CITY OF NEWPORT NEWS
"1440","28TH",CITY OF NEWPORT NEWS
"1424","27TH",CITY OF NEWPORT NEWS
"1431","26TH",N N R & H A
"1451","26TH",CITY OF NEWPORT NEWS
"1426","27TH",CITY OF NEWPORT NEWS
"208","MAPLE",CITY OF NEWPORT NEWS
"136","MAPLE",CITY OF NEWPORT NEWS
"1850","HAMPTON",CITY OF NEWPORT NEWS
"1890","HAMPTON",CITY OF NEWPORT NEWS
"1900","HAMPTON",CITY OF NEWPORT NEWS
"1600","25TH",N N R & H A
"142","POPLAR",CITY OF NEWPORT NEWS
"137","MAPLE",CITY OF NEWPORT NEWS
"1440","26TH",CITY OF NEWPORT NEWS
"1430","25TH",CITY OF NEWPORT NEWS
"1432","25TH",CITY OF NEWPORT NEWS
"1434","25TH",CITY OF NEWPORT NEWS
"1438","25TH",CITY OF NEWPORT NEWS
"1440","25TH",CITY OF NEWPORT NEWS
"1446","25TH",CITY OF NEWPORT NEWS
"1452","25TH",CITY OF NEWPORT NEWS
"222","BUXTON",CITY OF NEWPORT NEWS
"202","BUXTON",CITY OF NEWPORT NEWS
"209","SYCAMORE",CITY OF NEWPORT NEWS
"215","SYCAMORE",CITY OF NEWPORT NEWS
"208","SYCAMORE",CITY OF NEWPORT NEWS
"146","SYCAMORE",CITY OF NEWPORT NEWS
"136","SYCAMORE",CITY OF NEWPORT NEWS
"106","SYCAMORE",CITY OF NEWPORT NEWS
"70","BUXTON",CITY OF NEWPORT NEWS
"68","BUXTON",CITY OF NEWPORT NEWS
"76","SYCAMORE",CITY OF NEWPORT NEWS
"140","BUXTON",CITY OF NEWPORT NEWS
"138","BUXTON",CITY OF NEWPORT NEWS
"136","BUXTON",CITY OF NEWPORT NEWS
"134","BUXTON",CITY OF NEWPORT NEWS
"128","BUXTON",CITY OF NEWPORT NEWS
"108","BUXTON",CITY OF NEWPORT NEWS
"104","BUXTON",CITY OF NEWPORT NEWS
"100","BUXTON",CITY OF NEWPORT NEWS
"101","SYCAMORE",CITY OF NEWPORT NEWS
"105","SYCAMORE",CITY OF NEWPORT NEWS
"111","SYCAMORE",CITY OF NEWPORT NEWS
"113","SYCAMORE",CITY OF NEWPORT NEWS
"115","SYCAMORE",CITY OF NEWPORT NEWS
"119","SYCAMORE",CITY OF NEWPORT NEWS
"121","SYCAMORE",CITY OF NEWPORT NEWS
"131","SYCAMORE",CITY OF NEWPORT NEWS
"106","BUXTON",CITY OF NEWPORT NEWS
"125","CEDAR",CITY OF NEWPORT NEWS
"135","CEDAR",CITY OF NEWPORT NEWS
"142","CEDAR",CITY OF NEWPORT NEWS
"138","CEDAR",CITY OF NEWPORT NEWS
"134","CEDAR",CITY OF NEWPORT NEWS
"135","BUXTON",CITY OF NEWPORT NEWS
"137","BUXTON",CITY OF NEWPORT NEWS
"139","BUXTON",CITY OF NEWPORT NEWS
"145","BUXTON",CITY OF NEWPORT NEWS
"215","35TH",ECONOMIC DEVELOPMENT AUTHORITY
"213","35TH",ECONOMIC DEVELOPMENT AUTHORITY
"3500","WASHINGTON",ECONOMIC DEVELOPMENT AUTHORITY
"3408","WASHINGTON",ECONOMIC DEVELOPMENT AUTHORITY
"210","35TH",ECONOMIC DEVELOPMENT AUTHORITY
"214","35TH",ECONOMIC DEVELOPMENT AUTHORITY
"3406","WASHINGTON",ECONOMIC DEVELOPMENT AUTHORITY
"3412","WASHINGTON",ECONOMIC DEVELOPMENT AUTHORITY
"208","35TH",ECONOMIC DEVELOPMENT AUTHORITY
"491","34TH",ECONOMIC DEVELOPMENT AUTHORITY
"481","34TH",ECONOMIC DEVELOPMENT AUTHORITY
"3303","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3406","JEFFERSON",N N R & H A
"3214","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3208","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"510","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"516","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"518","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"520","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"522","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"524","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"526","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"526","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"530","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"538","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"536","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"540","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"548","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"550","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"552","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"554","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"556","33RD",ECONOMIC DEVELOPMENT AUTHORITY
"3201","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"555","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"545","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"541","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"539","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"537","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"533","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"531","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"531","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"529","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"527","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"525","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"523","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"521","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"519","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"517","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"515","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"513","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"511","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"505","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"501","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"3206","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"548","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"550","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"552","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"554","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"556","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"3105","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3103","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3101","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"214","34TH",CITY OF NEWPORT NEWS
"222","34TH",CITY OF NEWPORT NEWS
"230","34TH",CITY OF NEWPORT NEWS
"201","33RD",CITY OF NEWPORT NEWS
"3208","WASHINGTON",N N R & H A
"3204","WASHINGTON",N N R & H A
"3200","WASHINGTON",N N R & H A
"3200","WARWICK",CITY OF NEWPORT NEWS
"3114","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3112","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3110","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3108","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"510","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"528","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"530","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"532","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"534","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"536","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"538","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"540","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"542","32ND",ECONOMIC DEVELOPMENT AUTHORITY
"543","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"541","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"539","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"537","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"535","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"531","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"527","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"525","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"523","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"521","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"519","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"517","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"515","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"511","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"3100","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3106","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3090","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3080","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3070","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"3060","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"512","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"514","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"516","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"518","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"520","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"524","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"528","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"530","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"532","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"534","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"536","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"538","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"544","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"546","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"548","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"550","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"554","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"556","31ST",ECONOMIC DEVELOPMENT AUTHORITY
"3015","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3009","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3007","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3005","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3003","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"3001","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"565","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"563","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"561","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"551","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"547","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"545","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"543","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"541","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"539","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"537","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"535","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"533","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"531","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"527","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"525","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"523","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"519","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"3000","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"2990","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"2980","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"510","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"520","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"522","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"526","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"530","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"534","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"536","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"538","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"542","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"544","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"546","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"550","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"554","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"558","30TH",ECONOMIC DEVELOPMENT AUTHORITY
"557","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"555","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"553","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"551","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"549","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"547","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"545","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"543","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"541","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"535","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"533","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"531","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"529","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"527","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"523","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"511","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"2900","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"2812","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"510","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"520","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"534","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"542","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"544","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"546","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"550","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"554","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"556","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"551","28TH",ECONOMIC DEVELOPMENT AUTHORITY
"532","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"537","28TH",ECONOMIC DEVELOPMENT AUTHORITY
"545","28TH",CITY OF NEWPORT NEWS
"511","28TH",ECONOMIC DEVELOPMENT AUTHORITY
"2806","TERMINAL",ECONOMIC DEVELOPMENT AUTHORITY
"508","29TH",ECONOMIC DEVELOPMENT AUTHORITY
"638","33RD",CITY OF NEWPORT NEWS
"851","28TH",N N R & H A
"827","28TH",N N R & H A
"825","28TH",N N R & H A
"751","28TH",N N R & H A
"2900","WICKHAM",CITY OF NEWPORT NEWS
"2814","WICKHAM",CITY OF NEWPORT NEWS
"2712","WICKHAM",CITY OF NEWPORT NEWS
"829","27TH",N N R & H A
"817","27TH",N N R & H A
"813","27TH",N N R & H A
"854","27TH",N N R & H A
"2615","WICKHAM",N N R & H A
"2613","WICKHAM",N N R & H A
"2914","JEFFERSON",N N R & H A
"2812","JEFFERSON",N N R & H A
"608","29TH",N N R & H A
"614","29TH",N N R & H A
"620","29TH",N N R & H A
"619","28TH",CITY OF NEWPORT NEWS
"617","28TH",N N R & H A
"615","28TH",N N R & H A
"613","28TH",N N R & H A
"611","28TH",N N R & H A
"609","28TH",N N R & H A
"2800","JEFFERSON",N N R & H A
"2801","JEFFERSON",ECONOMIC DEVELOPMENT AUTHORITY
"554","28TH",N N R & H A
"2714","JEFFERSON",N N R & H A
"606","28TH",N N R & H A
"614","28TH",N N R & H A
"616","28TH",N N R & H A
"613","27TH",N N R & H A
"607","27TH",N N R & H A
"605","27TH",N N R & H A
"2706","JEFFERSON",N N R & H A
"2700","JEFFERSON",N N R & H A
"2705","JEFFERSON",N N R & H A
"733","28TH",N N R & H A
"701","25TH",N N R & H A
"2609","MARSHALL",N N R & H A
"759","26TH",N N R & H A
"743","24TH",CITY OF NEWPORT NEWS SCHOOL BOARD
"837","26TH",N N R & H A
"2510","WICKHAM",CITY OF NEWPORT NEWS
"2404","MARSHALL",N N R & H A
"834","24TH",CITY OF NEWPORT NEWS
"1033","28TH",CITY OF NEWPORT NEWS
"1116","27TH",N N R & H A
"1242","24TH",CITY OF NEWPORT NEWS
"1141","23RD",N N R & H A
"2410","WICKHAM",CITY OF NEWPORT NEWS
"2303","WICKHAM",CITY OF NEWPORT NEWS
"922","23RD",N N R & H A
